date,Wind Speed,Pressure,Relative Humidity,Temperature,Solar Radiation
2012-11-21 08:00:00,2.3108508587,988.527770996,41.1507387693,18.3247566221,227
2012-11-21 09:00:00,1.6994726658,989.120544434,36.1994820369,21.5835585779,419
2012-11-21 10:00:00,1.3307709694,988.857727051,29.9685690065,25.9395490028,567
2012-11-21 11:00:00,0.9643169045,988.042785644,21.8667976086,29.1540023611,665
2012-11-21 12:00:00,0.4617940784,986.855224609,21.290024783,30.3203183473,702
2012-11-21 13:00:00,0.1485777646,985.916687012,21.6415832932,30.4660429622,658
2012-11-21 14:00:00,0.1771245897,985.086486816,22.6829890335,29.7869154495,548
2012-11-21 15:00:00,0.4279161096,984.811157227,25.3636177416,28.2690551439,383
2012-11-21 16:00:00,0.9548872113,984.623901367,34.878189697,25.7117554692,177
2012-11-21 17:00:00,1.5886574984,984.919189453,44.7598546278,23.1264149625,3
2012-11-21 18:00:00,2.166056633,985.137329102,44.5783106506,22.1060221346,0
2012-11-21 19:00:00,2.5837631226,985.555541992,44.3923161606,21.2622828055,0
2012-11-21 20:00:00,2.8544695377,986.065307617,43.8220729382,20.4196001757,0
2012-11-21 21:00:00,3.0586490631,986.489257812,43.91870989,19.5751537039,0
2012-11-21 22:00:00,3.2359364033,986.262695312,44.6069746904,18.7491340108,0
2012-11-21 23:00:00,3.3464386463,986.023864746,45.8875081304,17.9487411859,0
2012-11-22 00:00:00,3.4132375717,985.593200684,47.3710788893,17.1878556279,0
2012-11-22 01:00:00,3.4584290981,985.248168945,48.1937711546,16.4688307578,0
2012-11-22 02:00:00,3.3932230473,984.743347168,48.5711211277,15.8226272911,0
2012-11-22 03:00:00,3.2461740971,984.313781738,48.9260357799,15.2653264834,0
2012-11-22 04:00:00,3.0846366882,984.691162109,49.3666384258,14.8046088077,0
2012-11-22 05:00:00,2.9607665539,985.276245117,49.931587541,14.4326693045,0
2012-11-22 06:00:00,2.852509737,986.099609375,50.8709487353,14.1635141309,0
2012-11-22 07:00:00,2.7227051258,986.87701416,50.3246247921,15.6556293795,35
2012-11-22 08:00:00,2.2713587284,987.309875488,38.5145115475,18.5701558432,224
2012-11-22 09:00:00,1.614397049,987.528442383,34.1376441798,21.8751298407,414
2012-11-22 10:00:00,1.0921645164,987.390197754,28.7526241974,26.2468009325,569
2012-11-22 11:00:00,0.4951690435,986.418701172,22.2005501794,29.5832762354,664
2012-11-22 12:00:00,0.0753891617,985.150146484,21.7033145507,30.475817357,692
2012-11-22 13:00:00,0.2720238268,984.358276367,21.7700203527,30.4489736613,650
2012-11-22 14:00:00,0.3395917118,983.752929688,22.7270480335,29.7354414221,541
2012-11-22 15:00:00,0.3947814405,983.377075195,25.4212377048,28.2695372116,378
2012-11-22 16:00:00,0.6141347885,983.27331543,34.0922765191,25.824214543,175
2012-11-22 17:00:00,0.8736259937,983.307800293,45.1078505365,23.2778240476,3
2012-11-22 18:00:00,1.1348227262,983.956542969,42.303510474,22.3334577556,0
2012-11-22 19:00:00,1.3583036661,984.647949219,42.1397639394,21.6059567023,0
2012-11-22 20:00:00,1.5353307724,985.022338867,43.9659990197,20.9596338661,0
2012-11-22 21:00:00,1.6375716925,985.311401367,45.1820357007,20.2717811304,0
2012-11-22 22:00:00,1.6897963285,985.312683106,47.8764758763,19.5677807202,0
2012-11-22 23:00:00,1.7507964373,984.954956055,49.5828530286,18.8353708611,0
2012-11-23 00:00:00,1.8961606026,984.659118652,52.8513705517,18.1238290419,0
2012-11-23 01:00:00,2.1415660381,984.168273926,53.2324233331,17.4286766702,0
2012-11-23 02:00:00,2.2219128609,983.637939453,54.3923990505,16.8521407578,0
2012-11-23 03:00:00,2.1258122921,983.608825684,56.0828050859,16.3926780569,0
2012-11-23 04:00:00,1.9241859913,983.770812988,58.3384987262,15.9604474948,0
2012-11-23 05:00:00,1.661516428,984.30090332,61.1388986815,15.5377817932,0
2012-11-23 06:00:00,1.4561116695,985.124023438,64.4878378383,15.1016316767,0
2012-11-23 07:00:00,1.3392373323,985.854614258,61.0199680665,16.410484322,33
2012-11-23 08:00:00,1.1261444092,986.469299316,46.2842699151,19.0037192163,222
2012-11-23 09:00:00,0.8468215466,986.781433106,39.4346249719,22.3987103225,412
2012-11-23 10:00:00,0.7319511771,986.789245606,27.8091525212,26.6835075603,565
2012-11-23 11:00:00,1.373462677,986.122924805,24.0336083687,28.7394874156,661
2012-11-23 12:00:00,1.7987011671,985.102233887,22.4646871203,29.5112126556,690
2012-11-23 13:00:00,2.0600771904,984.417785644,21.6417109817,29.5796454387,648
2012-11-23 14:00:00,2.0904648304,983.744262695,21.4670417069,29.0103592835,541
2012-11-23 15:00:00,1.99924016,983.642883301,22.723850914,27.6322594146,378
2012-11-23 16:00:00,1.7972265482,983.397888184,35.8107771552,25.3210363563,181
2012-11-23 17:00:00,1.6512696743,983.618103027,44.2970047808,22.5937765739,3
2012-11-23 18:00:00,1.5161224604,984.440734863,44.8463901448,21.6618432424,0
2012-11-23 19:00:00,1.3785465956,984.847167969,45.6258557743,20.9737349012,0
2012-11-23 20:00:00,1.2951903343,985.303161621,45.2272550035,20.254377517,0
2012-11-23 21:00:00,1.2268975973,985.322082519,46.0035380756,19.5543712935,0
2012-11-23 22:00:00,1.2575762272,985.528259277,44.527880936,18.8870823301,0
2012-11-23 23:00:00,1.3712333441,985.218017578,44.8061944518,18.230770695,0
2012-11-24 00:00:00,1.4763584137,984.862060547,44.9519826806,17.6032090348,0
2012-11-24 01:00:00,1.5563067198,984.841796875,45.341890046,17.028257863,0
2012-11-24 02:00:00,1.4478991032,984.717468262,46.6056841771,16.5160267999,0
2012-11-24 03:00:00,1.3105660677,984.378662109,48.3495661007,16.0944054425,0
2012-11-24 04:00:00,1.1504673958,984.493286133,50.6521049121,15.7158223671,0
2012-11-24 05:00:00,0.9006539583,984.783203125,49.472574472,15.4133005849,0
2012-11-24 06:00:00,0.660505712,985.655029297,51.0101672995,15.1748722514,0
2012-11-24 07:00:00,0.4989183843,986.062866211,58.9079213455,16.6558224944,30
2012-11-24 08:00:00,0.5386063457,986.854492188,37.6557660201,19.4337685905,220
2012-11-24 09:00:00,0.6082341075,986.988891602,31.2555891371,22.3320068688,406
2012-11-24 10:00:00,0.1865293533,986.858093262,24.3753891576,26.6903697943,561
2012-11-24 11:00:00,0.8783692718,986.129455566,21.1485826137,29.2655585542,660
2012-11-24 12:00:00,1.0568329096,985.171447754,20.9811253928,30.1438719986,688
2012-11-24 13:00:00,1.0685144663,984.114807129,21.4127686305,30.260259313,625
2012-11-24 14:00:00,1.0690324306,983.803588867,22.5883929468,29.6367359298,510
2012-11-24 15:00:00,1.0826795101,983.665222168,25.258789616,28.2490833139,359
2012-11-24 16:00:00,1.0740622282,983.841918945,39.8311228525,25.8824617835,172
2012-11-24 17:00:00,1.1092965603,984.017272949,43.2519479019,23.1737015201,3
2012-11-24 18:00:00,1.2116528749,984.702026367,41.7213540541,22.4554993014,0
2012-11-24 19:00:00,1.3709027767,985.626220703,45.5011960653,21.7552770386,0
2012-11-24 20:00:00,1.6776114702,986.088073731,48.412718704,21.1221767136,0
2012-11-24 21:00:00,2.0160429478,986.691162109,49.2400400112,20.3804359672,0
2012-11-24 22:00:00,2.2774116993,986.955810547,49.1300694755,19.6225652542,0
2012-11-24 23:00:00,2.4834587574,986.833312988,49.205679398,18.8505633945,0
2012-11-25 00:00:00,2.680811882,986.750976562,49.3548515917,18.0977862949,0
2012-11-25 01:00:00,2.8629901409,986.539672852,49.4127493052,17.3820972464,0
2012-11-25 02:00:00,2.9361960888,985.846923828,49.9064116616,16.6913720791,0
2012-11-25 03:00:00,2.953622818,985.785888672,50.5166387914,16.0834710189,0
2012-11-25 04:00:00,2.9472088814,985.474060059,51.1026309844,15.5550676498,0
2012-11-25 05:00:00,2.9356026649,985.845275879,51.5820554425,15.1077845032,0
2012-11-25 06:00:00,2.9145693779,986.798583984,51.9084287503,14.7405984863,0
2012-11-25 07:00:00,2.8441226482,987.318908691,50.617055514,16.0087405108,32
2012-11-25 08:00:00,2.4167690277,988.084106445,38.5893711212,18.8613694599,207
2012-11-25 09:00:00,1.8475800753,988.243652344,33.2632156091,22.1295322823,405
2012-11-25 10:00:00,1.7973781824,987.9609375,24.5589352839,26.4438544837,557
2012-11-25 11:00:00,1.546634078,987.120239258,19.7700872708,29.0118707727,648
2012-11-25 12:00:00,1.1212717295,986.089172363,19.5245306911,30.0798744625,675
2012-11-25 13:00:00,0.8403726816,985.264953613,20.0283002096,30.2492848851,639
2012-11-25 14:00:00,0.8336704373,984.659362793,21.0346314185,29.6492694428,534
2012-11-25 15:00:00,1.019015789,984.425964356,23.4906682764,28.2046912787,374
2012-11-25 16:00:00,1.4516977072,984.50201416,38.6776050283,25.8074365574,171
2012-11-25 17:00:00,1.9680734873,984.914672852,43.4805438281,22.965808145,3
2012-11-25 18:00:00,2.4159648418,985.370239258,42.160712204,21.9932374025,0
2012-11-25 19:00:00,2.7289354801,986.018798828,41.0883906675,21.0675074917,0
2012-11-25 20:00:00,2.8294835091,986.32019043,41.1462792351,20.1106577428,0
2012-11-25 21:00:00,2.8359663486,986.441101074,41.8125951085,19.1779475921,0
2012-11-25 22:00:00,2.8578035831,986.370666504,42.5955591759,18.3064494588,0
2012-11-25 23:00:00,2.8851802349,986.223083496,43.5202708057,17.5044926969,0
2012-11-26 00:00:00,2.8752615452,986.071289062,44.7685592572,16.7661716689,0
2012-11-26 01:00:00,2.8113732338,985.837707519,46.2744689274,16.0981384616,0
2012-11-26 02:00:00,2.5916051865,985.695678711,48.347978937,15.5259955543,0
2012-11-26 03:00:00,2.3552360535,985.553405762,50.0005910264,15.0478085845,0
2012-11-26 04:00:00,2.1726830006,985.903869629,51.1467289613,14.6399271986,0
2012-11-26 05:00:00,2.0700416565,986.110229492,51.5994150548,14.2935541943,0
2012-11-26 06:00:00,2.0832512379,986.656799316,51.2936250907,13.9954405399,0
2012-11-26 07:00:00,2.1337349415,987.431396484,50.7730278145,15.4026408548,30
2012-11-26 08:00:00,2.0708851814,987.797851562,34.8373382548,18.4226417508,214
2012-11-26 09:00:00,1.7374448776,988.583740234,28.5670948894,21.5606544309,404
2012-11-26 10:00:00,1.5541187525,988.296203613,22.0208456782,25.8806826076,553
2012-11-26 11:00:00,1.3600836992,988.125,17.8819597549,28.6584706474,651
2012-11-26 12:00:00,1.1435679197,987.337402344,17.6734561974,29.7399244322,679
2012-11-26 13:00:00,1.1259301901,986.31628418,18.0585249829,29.8390938978,627
2012-11-26 14:00:00,1.2799915075,985.497497559,18.8601565946,29.1920838014,523
2012-11-26 15:00:00,1.5503296852,985.069274902,20.972088517,27.7727060711,372
2012-11-26 16:00:00,2.0013620853,984.986755371,35.1773193593,25.2185399198,170
2012-11-26 17:00:00,2.552239418,985.205383301,38.9263174619,22.3529121587,3
2012-11-26 18:00:00,3.0637798309,985.543701172,37.9823822977,21.2577596642,0
2012-11-26 19:00:00,3.4547770023,986.109558106,37.3919367737,20.3138919982,0
2012-11-26 20:00:00,3.6574914455,986.313598633,38.0674770845,19.3758016564,0
2012-11-26 21:00:00,3.7420656681,986.453308106,39.4702960682,18.4437889821,0
2012-11-26 22:00:00,3.8030233383,986.574035644,40.8350918472,17.565766736,0
2012-11-26 23:00:00,3.8004338741,986.099609375,42.4735244807,16.7490428885,0
2012-11-27 00:00:00,3.7013351917,985.855529785,44.7594071488,15.9908502476,0
2012-11-27 01:00:00,3.5785791874,985.900512695,47.2622921844,15.3298240674,0
2012-11-27 02:00:00,3.3093516827,985.361755371,50.2060895913,14.7268331272,0
2012-11-27 03:00:00,3.0822224617,985.111755371,52.4133465636,14.2157778175,0
2012-11-27 04:00:00,2.9192578793,985.172485352,54.0212198779,13.7966593312,0
2012-11-27 05:00:00,2.7532088757,985.532653809,55.2458396881,13.4395176676,0
2012-11-27 06:00:00,2.5845234394,986.300476074,56.1948829349,13.1739622478,0
2012-11-27 07:00:00,2.3703279495,986.78326416,56.0416087787,14.6275737666,28
2012-11-27 08:00:00,2.1017317772,987.451049805,41.1338499594,17.8202173196,211
2012-11-27 09:00:00,1.6344814301,987.994262695,34.3340130068,21.2180888077,400
2012-11-27 10:00:00,1.2129034996,987.717224121,28.0734654829,25.6398052324,554
2012-11-27 11:00:00,0.8447732329,986.91998291,21.0166622239,28.872718848,648
2012-11-27 12:00:00,0.5496791601,985.915527344,20.3491898171,30.0074929884,668
2012-11-27 13:00:00,0.4371967018,984.699768066,20.6171539064,30.1404669308,633
